ID_Ra;Navn;DSK Kategori;Produkt;Kategori;Total kg CO2e/kg
Ra00475;Vegansk pålæg;Frugt/grøntsagsprodukter;Vegansk pålæg;Planteprodukter og -drikke;2,67
Ra00476;Vegansk blok;Mælk/æg/erstatningsprodukter;Vegansk blok;Planteprodukter og -drikke;2,60
Ra00477;Plantemagarine;Spiseolie/-fedt;Plantemagarine;Planteprodukter og -drikke;2,49
Ra00478;Vegansk bacon;Tilberedte/konserverede fødevarer;Vegansk bacon;Planteprodukter og -drikke;0,35
Ra00479;Veganske filetstykker;Tilberedte/konserverede fødevarer;Veganske filetstykker;Planteprodukter og -drikke;1,78
Ra00480;Falafel-fars;Tilberedte/konserverede fødevarer;Falafel-fars;Planteprodukter og -drikke;2,06
Ra00481;Ærtedrik;Mælk/æg/erstatningsprodukter;Ærtedrik;Planteprodukter og -drikke;0,71
Ra00482;Portobello-svamp;Grøntsager;Portobello-svamp;Svampe og svampeprodukter;0,26
Ra00483;Madkorn, kamut;Korn-/gryn-/bælgfrugtprodukter;Madkorn, kamut;Korn og kornprodukter;1,87
Ra00484;Chilisauce;Krydderier/konserveringsmidler/ekstrakter;Chilisauce;Smagsgivere og krydderier;2,10
Ra00485;Rødløg;Grøntsager;Rødløg;Grøntsager og grøntsagsprodukter;0,81
Ra00486;Basilikum, frisk;Grøntsager;Basilikum, frisk;Grøntsager og grøntsagsprodukter;0,38
Ra00487;Basilikum, tørret;Krydderier/konserveringsmidler/ekstrakter;Basilikum, tørret;Smagsgivere og krydderier;2,80
Ra00488;Koldskål;Mælk/æg/erstatningsprodukter;Koldskål;Mælk, mejeriprodukter og æg;0,87
Ra00489;Oksekød, lavt fedtindhold;Kød/fjerkræ;Oksekød, lavt fedtindhold;Kød og fjerkræ;53,19
Ra00490;Grillpølser;Kød/fjerkræ;Grisekød, grillpølser;Kød og fjerkræ;2,16
Ra00491;Æblejuice;Drikkevarer;Æblejuice, plastflaske;Drikkevarer;1,68
Ra00492;Hakket lammekød;Kød/fjerkræ;Lammekød, hakket;Kød og fjerkræ;34,73
Ra00493;Burgerboller;Brød/bageartikler;Burgerbolle;Brød og bageartikler;1,16
Ra00494;Blåskimmelost, ost;Mælk/æg/erstatningsprodukter;Blåskimmelost, ost;Mælk, mejeriprodukter og æg;1,60
Ra00495;Gedeost, ost;Mælk/æg/erstatningsprodukter;Gedeost, ost;Mælk, mejeriprodukter og æg;1,60
Ra00496;Vegansk ost, revet eller skiver;Mælk/æg/erstatningsprodukter;Vegansk ost, revet eller skiver;Planteprodukter og -drikke;1,00
Ra00497;Samosa, vegetarisk frost;Tilberedte/konserverede fødevarer;Samosa, vegetarisk frost;Færdigretter;1,28
Ra00498;Pålægschokolade;Slik/sukkervarer;Pålægschokolade;Slik og sukkervarer;4,99
Ra00499;Nutella, nøddecreme;Slik/sukkervarer;Nutella, nøddecreme;Slik og sukkervarer;5,16
Ra00500;Smoothie, jordbær blåbær;Drikkevarer;Smoothie, jordbær/blåbær;Drikkevarer;1,84
Ra00501;;;Grisekød, gennemsnitligt;Kød og fjerkræ;4,69
Ra00502;;;Kyllingekød, gennemsnitligt;Kød og fjerkræ;3,27
Ra00503;;;Oksekød, gennemsnitligt;Kød og fjerkræ;74,84
Ra00517;;;Flaskevand uden brus;Drikkevarer;0,49
Ra00521;;;Paté;Færdigretter;5,20
